timestamp_utc,url,headline,location,status,rent_kr_per_month,rooms,sqm
2026-02-06T12:03:21.819340+00:00,https://kerebyudlejning.dk/bolig/lyongade-12-3-tv-2300-kobenhavn-s,4-værelses lejlighed på Amager,"Lyongade 12, 3. tv 2300
      København S",Reserveret,12955,4,83
2026-02-09T09:08:58.583167+00:00,https://kerebyudlejning.dk/bolig/esplanaden-14-1-th-1263-kobenhavn-k,Istandsat 4-vær. familielejlighed i hjertet af Indre By,"Esplanaden 14, 1. th 1263
      København K",,27594,5,174
2026-02-11T09:02:00.385471+00:00,https://kerebyudlejning.dk/bolig/rantzausgade-58a-4-th-2200-kobenhavn-n,God 4 vær. lejlighed!,"Rantzausgade 58A, 4. th 2200
      København N",Reserveret,19194,4,126
2026-02-11T10:02:16.398736+00:00,https://kerebyudlejning.dk/bolig/strandboulevarden-61-4-th-2100-kobenhavn,"Istandsat, stor 5-værelses på Østerbro","Strandboulevarden 61, 4. th 2100
      København Ø",Reserveret,19927,4,125
2026-02-11T12:35:17.548880+00:00,https://kerebyudlejning.dk/bolig/tagensvej-91-4-th-2200-kobenhavn-n,3-værelses lejlighed på Nørrebro,"Tagensvej 91, 4. th 2200
      København N",Reserveret,12142,3,78
2026-02-13T10:08:03.241614+00:00,https://kerebyudlejning.dk/bolig/je-ohlsens-gade-8-2-tv-2100-kobenhavn,4-værelses lejlighed på Østerbro,"J.E. Ohlsens Gade 8, 2. tv 2100
      København Ø",Reserveret,18565,4,118
2026-02-13T11:35:07.154172+00:00,https://kerebyudlejning.dk/bolig/kildevaldsgade-71-st-2100-kobenhavn,4-værelses lejlighed på Østerbro,"Kildevældsgade 71, st. 2100
      København Ø",Reserveret,17286,4,109
2026-02-16T09:13:01.244689+00:00,https://kerebyudlejning.dk/bolig/molle-alle-25-3-th-2500-valby,2-værelses lejlighed i Valby,"Mølle Allé 25, 3. th 2500
      Valby",Reserveret,12696,2,82
2026-02-16T09:13:01.244689+00:00,https://kerebyudlejning.dk/bolig/helgesvej-22a-st-th-2000-frederiksberg,3-værelses lejlighed på Frederiksberg,"Helgesvej 22A, st. th 2000
      Frederiksberg",,22228,3,111
2026-02-16T10:11:26.627540+00:00,https://kerebyudlejning.dk/bolig/toftegards-alle-16-3-th-2500-valby,4-værelses lejlighed i Valby,"Toftegårds Allé 16, 3. th 2500
      Valby",Reserveret,16497,4,108
2026-02-16T11:51:11.249083+00:00,https://kerebyudlejning.dk/bolig/bredegrund-42-st-tv-2300-kobenhavn-s,God 3. vær på Amager,"Bredegrund 42, st. tv 2300
      København S",Reserveret,11735,3,74
